#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 11:15:25 2022
#Time	Period	Transit time
#[s]	[s]	[s]
634.710927	2.116371	0.091102
635.769079	2.116386	0.091306
636.827313	2.116293	0.091510
637.885372	2.116276	0.091712
638.943589	2.116300	0.091910
640.001672	2.116336	0.092124
641.059925	2.116349	0.092334
642.118021	2.116332	0.092542
643.176257	2.116315	0.092730
644.234336	2.116300	0.092920
645.292557	2.116308	0.093134
646.350644	2.116309	0.093332
647.408866	2.116322	0.093520
648.466966	2.116337	0.093716
649.525203	2.116347	0.093918
650.583313	2.116402	0.094126
651.641605	2.116391	0.094294
652.699704	2.116301	0.094448
653.757906	2.116293	0.094692
654.815997	2.116272	0.094934
655.874178	2.116265	0.095120
656.932262	2.116255	0.095336
657.990433	2.116225	0.095542
659.048487	2.116261	0.095742
660.106694	2.116290	0.095956
661.164777	2.116283	0.096162
662.222977	2.116230	0.096374
663.281007	2.116193	0.096558
664.339170	2.116229	0.096764
665.397236	2.116237	0.097008
666.455407	2.116210	0.097222
667.513446	2.116210	0.097420
668.571617	2.116212	0.097638
669.629658	2.116216	0.097860
670.687833	2.116207	0.098078
671.745865	2.116182	0.098298
672.804015	2.116191	0.098498
673.862056	2.116218	0.098720
674.920233	2.116208	0.098942
675.978264	2.116159	0.099140
677.036392	2.116143	0.099356
678.094407	2.116201	0.099590
679.152593	2.116218	0.099818
680.210625	2.116174	0.100026
681.268767	2.116129	0.100242
682.326754	2.116137	0.100456
683.384904	2.116139	0.100668
684.442893	2.116094	0.100894
685.500998	2.116039	0.101108
686.558932	2.116052	0.101320
687.617050	2.116116	0.101556
688.675048	2.116119	0.101784
689.733169	2.116116	0.101994
690.791164	2.116119	0.102220
691.849288	2.116105	0.102452
692.907269	2.116096	0.102678
693.965384	2.116071	0.102908
695.023340	2.116015	0.103156
696.081399	2.116036	0.103390
697.139376	2.116080	0.103624
698.197479	2.116049	0.103866
699.255425	2.116057	0.104102
700.313536	2.116060	0.104320
701.371485	2.116075	0.104542
702.429611	2.116094	0.104790
703.487579	2.116089	0.105034
704.545700	2.116094	0.105232
705.603673	2.116055	0.105430
706.661755	2.116030	0.105690
707.719703	2.115987	0.105950
708.777742	2.116082	0.106192
709.835785	2.115700	0.106430
710.893442	2.115864	0.106660
711.951649	2.116480	0.106910
713.009922	2.115962	0.107196
714.067611	2.115720	0.107426
715.125642	2.115984	0.107672
716.183595	2.116033	0.107918
717.241675	2.115985	0.108122
718.299580	2.115954	0.108368
719.357629	2.115861	0.108634
720.415441	2.115844	0.108870
721.473473	2.115971	0.109122
722.531412	2.116011	0.109416
723.589484	2.115974	0.109672
724.647386	2.115992	0.109924
725.705476	2.116008	0.110188
726.763394	2.116000	0.110440
727.821476	2.115878	0.110688
728.879272	2.115863	0.110956
729.937339	2.116008	0.111210
730.995280	2.115969	0.111452
732.053308	2.115902	0.111720
733.111182	2.115872	0.111964
734.169180	2.115899	0.112172
735.227081	2.115915	0.112450
736.285095	2.115876	0.112754
737.342957	2.115878	0.113018
738.400973	2.115875	0.113246
739.458832	2.115894	0.113496
740.516867	2.115869	0.113790
741.574701	2.115852	0.114062
742.632719	2.115734	0.114346
743.690435	2.115841	0.114630
744.748560	2.115935	0.114912
745.806370	2.115808	0.115172
746.864368	2.115855	0.115432
747.922225	2.115948	0.115718
748.980316	2.115847	0.115984
750.038072	2.115720	0.116252
751.096036	2.115816	0.116528
752.153888	2.115865	0.116792
753.211901	2.115809	0.117046
754.269697	2.115752	0.117298
755.327653	2.115769	0.117562
756.385466	2.115780	0.117824
757.443433	2.115754	0.118086
758.501220	2.115803	0.118340
759.559236	2.115855	0.118616
760.617075	2.115833	0.118906
761.675069	2.115814	0.119142
762.732889	2.115716	0.119414
763.790785	2.115713	0.119694
764.848602	2.115779	0.119940
765.906564	2.115699	0.120224
766.964301	2.115659	0.120510
768.022223	2.115793	0.120818
769.080094	2.115869	0.121072
770.138092	2.115682	0.121396
771.195776	2.115628	0.121724
772.253720	2.115521	0.122000
773.311297	2.115831	0.122374
774.369551	2.115792	0.122702
775.427089	2.115538	0.122982
776.485089	2.115738	0.123274
777.542827	2.115706	0.123570
778.600795	2.115697	0.123858
779.658524	2.115717	0.124132
780.716512	2.115740	0.124404
781.774264	2.115739	0.124672
782.832251	2.115688	0.124970
783.889952	2.115582	0.125288
784.947833	2.115622	0.125598
786.005574	2.115691	0.125892
787.063524	2.115706	0.126168
788.121280	2.115664	0.126460
789.179188	2.115637	0.126792
790.236917	2.115656	0.127098
791.294844	2.115662	0.127380
792.352579	2.115605	0.127670
793.410449	2.115563	0.127970
