#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 09:08:41 2022
#Time	Period	Transit time
#[s]	[s]	[s]
742.798165	2.127152	0.071278
743.861743	2.127160	0.071430
744.925325	2.127154	0.071582
745.988897	2.127108	0.071746
747.052433	2.127074	0.071894
748.115971	2.127072	0.072042
749.179505	2.127077	0.072198
750.243048	2.127139	0.072348
751.306644	2.127164	0.072516
752.370212	2.127158	0.072676
753.433802	2.127151	0.072812
754.497363	2.127095	0.072970
755.560897	2.127073	0.073118
756.624436	2.127060	0.073264
757.687957	2.127066	0.073430
758.751502	2.127094	0.073588
759.815051	2.127087	0.073746
760.878589	2.127094	0.073890
761.942145	2.127080	0.074038
763.005669	2.126924	0.074194
764.069069	2.127032	0.074390
765.132701	2.127147	0.074574
766.196216	2.126943	0.074716
767.259644	2.127015	0.074856
768.323231	2.127102	0.075002
769.386746	2.127019	0.075172
770.450250	2.127005	0.075348
771.513751	2.127006	0.075502
772.577256	2.127005	0.075648
773.640756	2.126990	0.075824
774.704246	2.127133	0.075992
775.767889	2.127275	0.076182
776.831521	2.126877	0.076390
777.894766	2.126782	0.076532
778.958303	2.127021	0.076650
780.021787	2.127004	0.076794
781.085307	2.127002	0.076954
782.148789	2.126965	0.077122
783.212272	2.126956	0.077292
784.275745	2.126877	0.077442
785.339149	2.127095	0.077614
786.402840	2.127104	0.077800
787.466253	2.126873	0.077934
788.529713	2.126914	0.078078
789.593167	2.126989	0.078262
790.656702	2.127029	0.078456
791.720196	2.126899	0.078624
792.783601	2.126885	0.078774
793.847081	2.126945	0.078922
794.910546	2.126957	0.079104
795.974038	2.126956	0.079272
797.037502	2.126888	0.079408
798.100926	2.126880	0.079580
799.164382	2.126904	0.079744
800.227830	2.126875	0.079920
801.291257	2.126873	0.080094
802.354703	2.126954	0.080258
803.418211	2.127006	0.080454
804.481709	2.126821	0.080626
805.545032	2.126767	0.080760
806.608476	2.126863	0.080920
807.671895	2.126833	0.081102
808.735309	2.126817	0.081278
809.798712	2.126803	0.081444
810.862112	2.126886	0.081608
811.925598	2.126916	0.081764
812.989028	2.126811	0.081932
814.052409	2.126733	0.082118
815.115761	2.126801	0.082274
816.179210	2.126706	0.082428
817.242467	2.126743	0.082574
818.305953	2.127015	0.082766
819.369482	2.126785	0.083012
820.432738	2.126664	0.083204
821.496146	2.126764	0.083368
822.559502	2.126733	0.083556
823.622879	2.126772	0.083750
824.686274	2.126774	0.083932
825.749653	2.126764	0.084130
826.813038	2.126809	0.084336
827.876462	2.126733	0.084532
828.939771	2.126665	0.084754
830.003127	2.126765	0.084946
831.066536	2.126774	0.085092
832.129901	2.126728	0.085266
833.193264	2.126727	0.085476
834.256628	2.126712	0.085692
835.319976	2.126689	0.085880
836.383317	2.126666	0.086058
837.446642	2.126665	0.086244
838.509982	2.126669	0.086436
839.573311	2.126663	0.086618
840.636645	2.126657	0.086794
841.699968	2.126672	0.086984
842.763317	2.126689	0.087186
843.826657	2.126687	0.087382
844.890004	2.126652	0.087576
845.953309	2.126634	0.087762
847.016638	2.126652	0.087944
848.079961	2.126651	0.088134
849.143289	2.126635	0.088338
850.206596	2.126628	0.088528
851.269917	2.126633	0.088706
852.333229	2.126622	0.088894
853.396539	2.126607	0.089090
854.459836	2.126615	0.089284
855.523154	2.126615	0.089476
856.586451	2.126598	0.089678
857.649752	2.126589	0.089876
858.713040	2.126575	0.090064
859.776327	2.126566	0.090254
860.839606	2.126565	0.090460
861.902892	2.126601	0.090660
862.966207	2.126604	0.090850
864.029496	2.126599	0.091048
865.092806	2.126601	0.091252
866.156097	2.126581	0.091450
867.219387	2.126582	0.091642
868.282679	2.126583	0.091838
869.345970	2.126599	0.092028
870.409278	2.126594	0.092220
871.472564	2.126546	0.092416
872.535824	2.126482	0.092616
873.599046	2.126474	0.092836
874.662298	2.126547	0.093036
875.725593	2.126629	0.093218
876.788927	2.126659	0.093410
877.852252	2.126635	0.093600
878.915562	2.126503	0.093800
879.978755	2.126443	0.094014
881.042005	2.126501	0.094270
882.105256	2.126476	0.094484
883.168481	2.126535	0.094634
884.231791	2.126557	0.094838
885.295038	2.126491	0.095060
886.358282	2.126498	0.095264
887.421536	2.126491	0.095468
888.484773	2.126492	0.095674
889.548028	2.126490	0.095880
890.611263	2.126464	0.096086
